Nombre,Telefono,Nicho,Motivo de Falla,Link Maps
"FORCE GYM","529991850262","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=FORCE%20GYM%20M%C3%A9rida%20Yucat%C3%A1n"
"Ireland's Fit","529993303811","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Ireland's%20Fit%20M%C3%A9rida%20Yucat%C3%A1n"
"Los Héroes Gym","529991433328","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Los%20H%C3%A9roes%20Gym%20M%C3%A9rida%20Yucat%C3%A1n"
"FitZone - Fitness Studio","529992977422","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=FitZone%20-%20Fitness%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"Yediz Gym Center","529996058454","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Yediz%20Gym%20Center%20M%C3%A9rida%20Yucat%C3%A1n"
"Primus Gym","529991818303","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Primus%20Gym%20M%C3%A9rida%20Yucat%C3%A1n"
"Forza Gym & Fitness Club","529991911898","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Forza%20Gym%20%26%20Fitness%20Club%20M%C3%A9rida%20Yucat%C3%A1n"
"Fitkid MID","529995054022","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Fitkid%20MID%20M%C3%A9rida%20Yucat%C3%A1n"
"ADDIX GYM","529994699388","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=ADDIX%20GYM%20M%C3%A9rida%20Yucat%C3%A1n"
"Two Gym Training Studio","529993039621","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Two%20Gym%20Training%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"MGYM Muscle and Fitness","529991543647","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=MGYM%20Muscle%20and%20Fitness%20M%C3%A9rida%20Yucat%C3%A1n"
"Viper's Gym","529999006825","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Viper's%20Gym%20M%C3%A9rida%20Yucat%C3%A1n"
"Milo Gym","529991563144","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Milo%20Gym%20M%C3%A9rida%20Yucat%C3%A1n"
"X-TREME FITNESS & DANCE","529994428168","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=X-TREME%20FITNESS%20%26%20DANCE%20M%C3%A9rida%20Yucat%C3%A1n"
"Life Gym & Fitness","529991275543","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Life%20Gym%20%26%20Fitness%20M%C3%A9rida%20Yucat%C3%A1n"
"The Muscle Factory","529993517727","Gimnasio","Error del Sistema","https://www.google.com/maps/search/?api=1&query=The%20Muscle%20Factory%20M%C3%A9rida%20Yucat%C3%A1n"
